paymentType,Year,Month,month_year,avg_passenger_count,median_passenger_count,avg_fareAmount,median_fareAmount,avg_improvementSurcharge,median_improvementSurcharge,avg_extra,median_extra,avg_mtaTax,median_mtaTax,avg_tollsAmount,median_tollsAmount,avg_tipAmount,median_tipAmount,avg_totalAmount,median_totalAmount
CRD,2012,2,2/2012,1.6371229989513434,1,10.751556901519299,8.1,null,null,0.3287356647387287,0.5,0.49782843259260895,0.5,0.24347647692710198,0,2.137991270157127,1.64,13.95958874594024,10.8
CSH,2012,2,2/2012,1.6914594616972405,1,9.182206385399372,7.3,null,null,0.3152644286654079,0,0.49938354378876704,0.5,0.12986202506831837,0,0.003441772702956723,0,10.130158284997929,8
UNK,2012,2,2/2012,1.8220064724919094,1,13.937562028047468,8.9,null,null,0.3883495145631068,0,0.4929881337648328,0.5,0.6516936353829558,0,3.032135922330097,2,18.50272923408846,12
CRD,2012,3,3/2012,1.6325422898188169,1,11.064941025949423,8.5,null,null,0.32922328988072314,0.5,0.49766550253698766,0.5,0.27151191201775526,0,2.2052210283627693,1.7,14.368562758747103,11
CSH,2012,3,3/2012,1.6937130164034837,1,9.446019729112109,7.3,null,null,0.3189406972418577,0,0.49933860283138737,0.5,0.1501310846900344,0,0.00037539485798096446,0,10.414805508736698,8.2
DIS,2012,3,3/2012,1.0127982646420823,1,10.824817787418647,6.5,null,null,0.3418655097613883,0.5,0.48926247288503255,0.5,0.25574837310195236,0,0.005720173535791758,0,11.917414316702807,7.4
NOC,2012,3,3/2012,1.1303503295178634,1,9.616888657648316,5.3,null,null,0.3328477280610475,0.5,0.48844953173777317,0.5,0.18158931668400938,0,0.004303156434269858,0,10.62407839056541,6.3
UNK,2012,3,3/2012,1.8055659553226007,1,13.765721951828281,9.3,null,null,0.35423686509422186,0,0.49432172719331086,0.5,0.5911868214151975,0,2.9674578809434666,2,18.172925246474506,12
CRD,2012,4,4/2012,1.6371155261869745,1,11.14171161979554,8.5,null,null,0.32593528566732616,0.5,0.4977160489408645,0.5,0.2699558668308654,0,2.219798337252541,1.71,14.455117158480697,11.04
CSH,2012,4,4/2012,1.7087118850513143,1,9.61771197334991,7.3,null,null,0.31586572844500893,0,0.4992599496844162,0.5,0.15358513413668043,0,0.0003783968009448347,0,10.586801121185692,8.3
DIS,2012,4,4/2012,1.0600072846476052,1,11.113088690584636,6.5,null,null,0.32521398652340194,0.5,0.48825350573666,0.5,0.2886514296120918,0,0.015876889455472595,0,12.231084501912258,7.4
NOC,2012,4,4/2012,1.1346986886695152,1,9.671425666715704,5.3,null,null,0.32235155444231617,0.5,0.488109621334905,0.5,0.19059879180786818,0,0.005664947694121114,0,10.678150581994904,6.3
UNK,2012,4,4/2012,1.878779235596121,1,13.836955219623507,9.3,null,null,0.33710068454078723,0,0.49393896177980606,0.5,0.6112036508841963,0,2.9768011979463798,2,18.25599971477471,12.2
CRD,2012,5,5/2012,1.655075180566191,1,11.423400981762532,8.9,null,null,0.3258183860917922,0.5,0.49757492997788577,0.5,0.28771852726301655,0,2.275111603475245,1.75,14.8096244964865,11.3
CSH,2012,5,5/2012,1.7202803560583289,1,9.825162692398505,7.7,null,null,0.31606779586152745,0,0.4992369652836995,0.5,0.16553105204059568,0,0.0003632886931236081,0,10.806361916974144,8.4
DIS,2012,5,5/2012,1.2139275766016713,1,11.142064066852368,6.5,null,null,0.3282265552460539,0.5,0.4871402042711235,0.5,0.260699164345404,0,0.01978272980501393,0,12.237912720519963,7.4
NOC,2012,5,5/2012,1.2184752463562873,1,9.786797368265788,5.3,null,null,0.31406738655809285,0,0.4865315395055172,0.5,0.18290110344013644,0,0.0065100017702248185,0,10.77680739953975,6.3
UNK,2012,5,5/2012,1.8271775082690187,1,14.480734564498343,9.7,null,null,0.3397188533627343,0,0.4933158765159868,0.5,0.653479878721057,0,3.105733186328554,2,19.07298235942668,12.7
CRD,2012,6,6/2012,1.6581048860129153,1,11.37613683724837,8.5,null,null,0.32890187875989474,0.5,0.4975180276114078,0.5,0.281366197731834,0,2.2710855491352064,1.74,14.755008490485467,11.28
CSH,2012,6,6/2012,1.7255464329529742,1,9.782843810649679,7.7,null,null,0.3189165520357628,0,0.49926034858052576,0.5,0.16246622876110528,0,0.000517039229926513,0,10.764003979259963,8.3
